Year, GFLOPs, Bandwidth, Name 
2008-12-31, 78, 102, "Tesla C1060"
2010-12-31, 515, 144, "Tesla C2050"
2011-12-31, 666, 177, "Tesla M2090"
2012-12-31, 1173, 208, "Tesla K20"
2013-12-31, 1312, 250, "Tesla K20X"
2014-12-31, 1430, 288, "Tesla K40"
2016-12-31, 4700, 720, "Tesla P100"
2017-12-31, 7450, 900, "Tesla V100"
