n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
2048,1,0,8876268,4194304,643,0,904,9,88,355084128,0.012627,108,12,2,3
2048,2,0,35168648,4194304,2615,0,3680,25,740,1196514016,0.041032,108,7,3,5
2048,3,0,78877220,4194304,6615,0,8064,49,1736,2595245664,0.090488,108,10,4,7
2048,4,0,140001984,4194304,12375,0,14760,81,3348,4551311840,0.167416,108,10,5,9
1024,5,0,56843100,1048576,20647,0,24200,121,5720,1837872480,0.072042,108,10,6,11
1024,6,0,81753080,1048576,31863,0,36816,169,8996,2635045088,0.112054,108,10,7,13
