n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
2048,1,0,8876268,4194304,100,0,176,4,16,284073344,0.005411,59,12,2,2
2048,2,0,35168648,4194304,453,0,708,9,216,915164192,0.014618,57,7,3,3
2048,3,0,78877220,4194304,1184,0,1504,16,512,1964227264,0.032056,57,10,4,4
2048,4,0,140001984,4194304,2245,0,2740,25,1000,3431295328,0.057762,57,10,5,5
1024,5,0,56843100,1048576,3804,0,4512,36,1728,1383127040,0.024106,57,10,6,6
1024,6,0,81753080,1048576,5957,0,6916,49,2744,1981019808,0.03615,57,10,7,7
