n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
64,1,0,1289925,262144,816,0,1276,8,48,41408672,0.0046698,235,34,2,2
64,2,0,9403326,262144,4671,0,6759,27,972,236572664,0.027848,235,15,3,3
64,3,0,30738531,262144,15576,0,18880,64,3072,749223792,0.041732000000000005,193,21,4,4
64,4,0,71693748,262144,36315,0,42655,125,7500,1733148424,0.19227,193,21,5,5
64,5,0,138667185,262144,73008,0,83844,216,15552,3342001856,0.3902,193,21,6,6
64,6,0,238057050,262144,132279,0,149359,343,28812,5729439384,0.74278,193,21,7,7
