n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
64,1,0,1289925,262144,6606,0,8478,27,534,51728712,0.025768000000000003,394,34,2,3
64,2,0,9403326,262144,40805,0,53160,125,4680,311799912,0.13016,409,15,3,5
64,3,0,30738531,262144,138187,0,160412,343,14238,995132680,0.4583,325,21,4,7
64,4,0,71693748,262144,325863,0,372762,729,33372,2306699048,1.6748,325,21,5,9
64,5,0,138667185,262144,654137,0,739398,1331,66726,4451339976,3.2128,325,21,6,11
64,6,0,238057050,262144,1177813,0,1318148,2197,119808,7633896424,5.9964,325,21,7,13
