n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
64,1,0,429975,262144,464,0,804,8,32,20769872,0.00086882,154,40,2,2
64,2,0,3134442,262144,1998,0,3222,27,324,86119448,0.0031876,142,15,3,3
64,3,0,10246177,262144,6360,0,8576,64,1024,257407296,0.008349800000000001,130,21,4,4
64,4,0,23897916,262144,14565,0,18780,125,2500,586048456,0.018226,130,21,5,5
64,5,0,46222395,262144,28944,0,36108,216,5184,1123326896,0.03513,130,21,6,6
64,6,0,79352350,262144,52017,0,63266,343,9604,1920526584,0.064218,130,21,7,7
