degree,rate
1,199212917.80182225
2,71151398.07238773
3,34793663.984652266
4,19198299.417070486
5,11900978.927959427
6,7116975.969676939
7,5497218.192129116
8,3013554.370758541
9,2699333.4838268515
10,2039842.4571928075
11,1590318.7129284982
12,1272289.4191983205
