Np h Time Niter Pdof Vdof
1 1457.83 7.31892 24.0 122880.0 368640.0
6 728.915 8.36401 20.0 491520.0 1474560.0
24 364.458 11.4264 21.0 1966080.0 5898240.0
96 182.229 11.9953 22.0 7864320.0 23592960.0
384 91.114 12.7306 22.0 31457280.0 94371840.0
1536 45.557 12.1948 20.0 125829120.0 377487360.0
6144 22.779 13.4666 20.0 503316480.0 1509949440.0
