nproc 1 4 8 16 25 50 75 100
1 907.59 920.653 921.013 914.282 892.036 902.42 916.319 913.181 
4 3207.681 3408.8 3395.038 3416.741 3431.616 3330.959 3423.321 3423.781 
12 9148.717 9707.536 9652.468 9704.819 9702.156 9686.045 9558.412 9353.569 
24 10380.925 10664.491 10716.737 10650.687 10742.345 10595.576 10604.149 10638.639 
