Np h Time Niter Pdof Vdof
1 1457.83 7.54273 20.0 122880.0 368640.0
6 728.915 7.89762 21.0 491520.0 1474560.0
24 364.458 12.9332 21.0 1966080.0 5898240.0
96 182.229 13.0734 21.0 7864320.0 23592960.0
384 91.114 13.6177 21.0 31457280.0 94371840.0
1536 45.557 14.8594 21.0 125829120.0 377487360.0
