Np h Time Niter Pdof Vdof
1 364.458 4.86183 8.0 327680.0 819200.0
6 182.229 4.44687 8.0 1310720.0 3276800.0
24 91.114 6.51427 7.0 5242880.0 13107200.0
96 45.557 6.80808 7.0 20971520.0 52428800.0
384 22.779 7.75534 7.0 83886080.0 209715200.0
